,UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
0,42,1,3.0,-1.0,,
1,296,1,5.0,-1.0,,
2,1358,2,,-1.0,9.0,
3,1387,3,,,,
4,1548,2,,-1.0,5.0,
5,1564,2,,-1.0,8.0,
6,1584,3,,,,
7,1793,1,-1.0,6.0,,
8,2245,3,,,,
9,2411,1,-1.0,1.0,,
10,2634,1,3.0,-1.0,,
11,2949,2,,8.0,-1.0,
12,2957,1,-1.0,2.0,,
13,3053,3,,,,
14,3462,3,,,,
15,3714,1,7.0,-1.0,,
16,3950,2,,4.0,-1.0,
17,4195,2,,-1.0,1.0,
18,4682,1,-1.0,3.0,,
19,4851,2,,-1.0,2.0,
20,5033,2,,9.0,-1.0,
21,5064,2,,-1.0,4.0,
22,5178,1,-1.0,8.0,,
23,5321,3,,,,
24,5546,3,,,,
25,5653,2,,-1.0,7.0,
26,5896,2,,2.0,-1.0,
27,5986,3,,,,
28,6012,3,,,,
29,6131,1,9.0,-1.0,,
30,6386,3,,,,
31,6431,3,,,,
32,6635,2,,-1.0,5.0,
33,6738,2,,-1.0,3.0,
34,6855,2,,9.0,-1.0,
35,7030,3,,,,
36,7347,1,9.0,-1.0,,
37,8245,1,1.0,-1.0,,
38,8325,3,,,,
39,8327,2,,-1.0,1.0,
40,8383,3,,,,
41,8412,1,-1.0,3.0,,
42,9272,1,5.0,-1.0,,
43,9371,2,,7.0,-1.0,
44,9458,2,,-1.0,8.0,
45,9584,1,9.0,-1.0,,
46,9653,3,,,,
47,9682,2,,7.0,-1.0,
48,9751,2,,-1.0,1.0,
49,10291,1,5.0,-1.0,,
50,10372,3,,,,
51,10541,1,4.0,-1.0,,
52,10900,2,,-1.0,5.0,
53,10976,1,-1.0,5.0,,
54,11137,2,,3.0,-1.0,
55,11664,2,,-1.0,8.0,
56,12103,3,,,,
57,12119,1,7.0,-1.0,,
58,12358,3,,,,
59,12447,1,6.0,-1.0,,
60,12489,3,,,,
61,13004,2,,4.0,-1.0,
62,13020,3,,,,
63,13025,2,,-1.0,2.0,
64,13187,1,8.0,-1.0,,
65,13643,3,,,,
66,14428,3,,,,
67,15248,1,0.0,-1.0,,
68,15494,3,,,,
69,15552,2,,-1.0,2.0,
70,15814,2,,-1.0,2.0,
71,15984,1,3.0,-1.0,,
72,16031,2,,6.0,-1.0,
73,16434,1,0.0,-1.0,,
74,16542,2,,-1.0,4.0,
75,16545,2,,5.0,-1.0,
76,16710,3,,,,
77,17330,2,,1.0,-1.0,
78,17609,1,-1.0,6.0,,
79,17640,3,,,,
80,17818,3,,,,
81,18052,3,,,,
82,18176,1,-1.0,6.0,,
83,18317,2,,6.0,-1.0,
84,18636,1,-1.0,1.0,,
85,18730,1,0.0,-1.0,,
86,18743,2,,-1.0,0.0,
87,18828,2,,3.0,-1.0,
88,18960,3,,,,
89,19156,1,-1.0,3.0,,
90,19354,1,-1.0,5.0,,
91,19424,3,,,,
92,19662,1,1.0,-1.0,,
93,20039,1,-1.0,8.0,,
94,20108,1,0.0,-1.0,,
95,20143,2,,0.0,-1.0,
96,20377,2,,1.0,-1.0,
97,20496,2,,-1.0,9.0,
98,20682,2,,7.0,-1.0,
99,21226,2,,5.0,-1.0,
100,21617,1,2.0,-1.0,,
101,21812,2,,-1.0,8.0,
102,21835,3,,,,
103,22382,1,5.0,-1.0,,
104,22453,1,-1.0,0.0,,
105,22608,2,,9.0,-1.0,
106,22766,1,6.0,-1.0,,
107,23015,2,,6.0,-1.0,
108,23174,2,,9.0,-1.0,
109,23441,2,,-1.0,9.0,
110,23571,2,,4.0,-1.0,
111,24063,1,4.0,-1.0,,
112,24380,3,,,,
113,24489,2,,7.0,-1.0,
114,24610,1,0.0,-1.0,,
115,25088,1,9.0,-1.0,,
116,25149,1,2.0,-1.0,,
117,25206,3,,,,
118,25287,2,,6.0,-1.0,
119,25937,1,-1.0,8.0,,
120,26061,2,,-1.0,4.0,
121,26313,3,,,,
122,26465,1,3.0,-1.0,,
123,26678,2,,7.0,-1.0,
124,26941,1,3.0,-1.0,,
125,27059,3,,,,
126,27198,1,-1.0,5.0,,
127,27247,3,,,,
128,27496,1,-1.0,2.0,,
129,27514,3,,,,
130,27553,1,7.0,-1.0,,
131,27603,3,,,,
132,27808,3,,,,
133,27900,2,,-1.0,3.0,
134,28605,2,,-1.0,6.0,
135,28987,3,,,,
136,29156,3,,,,
137,29322,2,,-1.0,1.0,
138,29450,2,,-1.0,2.0,
139,29635,3,,,,
140,30036,3,,,,
141,30046,2,,-1.0,8.0,
142,30100,1,-1.0,0.0,,
143,30145,2,,3.0,-1.0,
144,30480,1,1.0,-1.0,,
145,30648,3,,,,
146,30913,1,0.0,-1.0,,
147,31387,3,,,,
148,31404,1,-1.0,0.0,,
149,31490,2,,0.0,-1.0,
150,31550,2,,-1.0,6.0,
151,31639,2,,-1.0,0.0,
152,32415,2,,-1.0,8.0,
153,32623,2,,-1.0,6.0,
154,32875,2,,-1.0,1.0,
155,33094,2,,9.0,-1.0,
156,33206,1,-1.0,9.0,,
157,33220,3,,,,
158,33462,1,-1.0,2.0,,
159,33467,1,-1.0,8.0,,
160,33775,3,,,,
161,33795,3,,,,
162,34048,1,-1.0,9.0,,
163,34052,1,-1.0,3.0,,
164,34290,2,,-1.0,3.0,
165,34536,3,,,,
166,34611,3,,,,
167,34833,3,,,,
168,35520,3,,,,
169,35526,3,,,,
170,35532,2,,-1.0,3.0,
171,35599,2,,0.0,-1.0,
172,36220,2,,0.0,-1.0,
173,36446,2,,2.0,-1.0,
174,36601,2,,-1.0,8.0,
175,36717,2,,-1.0,1.0,
176,36770,3,,,,
177,36843,3,,,,
178,37128,1,-1.0,0.0,,
179,37201,3,,,,
180,38123,3,,,,
181,38149,1,-1.0,8.0,,
182,38529,1,-1.0,7.0,,
183,39067,2,,-1.0,4.0,
184,39213,2,,-1.0,3.0,
185,39311,2,,7.0,-1.0,
186,39396,2,,-1.0,6.0,
187,39648,3,,,,
188,39716,2,,-1.0,8.0,
